A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0.106,0.098,0.163,0.115,0.096,0.096,0.099,0.091,0.205,0.543,0.284,0.634,0.124,0.142,0.113,0.105
0.107,0.099,0.165,0.115,0.096,0.096,0.1,0.091,0.209,0.547,0.288,0.644,0.125,0.143,0.114,0.104
0.108,0.099,0.166,0.118,0.097,0.096,0.1,0.092,0.208,0.551,0.292,0.656,0.125,0.145,0.114,0.104
0.108,0.099,0.17,0.121,0.097,0.097,0.101,0.092,0.209,0.555,0.295,0.669,0.126,0.147,0.115,0.106
0.108,0.099,0.169,0.118,0.097,0.097,0.101,0.093,0.211,0.56,0.298,0.683,0.126,0.15,0.115,0.106
0.109,0.1,0.171,0.121,0.097,0.097,0.101,0.093,0.213,0.564,0.302,0.692,0.127,0.15,0.116,0.107
0.109,0.1,0.173,0.118,0.098,0.097,0.102,0.093,0.216,0.568,0.305,0.705,0.128,0.151,0.116,0.107
0.11,0.101,0.174,0.117,0.098,0.098,0.102,0.094,0.216,0.571,0.309,0.717,0.128,0.151,0.117,0.107
0.11,0.101,0.175,0.122,0.098,0.098,0.103,0.093,0.217,0.573,0.312,0.73,0.129,0.151,0.117,0.108
0.111,0.101,0.177,0.121,0.098,0.098,0.103,0.094,0.218,0.578,0.315,0.744,0.13,0.154,0.117,0.108
0.111,0.102,0.178,0.121,0.099,0.099,0.103,0.095,0.22,0.581,0.32,0.755,0.13,0.156,0.118,0.108
0.112,0.102,0.179,0.12,0.099,0.099,0.104,0.095,0.221,0.584,0.322,0.771,0.131,0.156,0.118,0.109
0.112,0.103,0.181,0.115,0.099,0.099,0.104,0.095,0.224,0.587,0.326,0.78,0.131,0.157,0.119,0.108
0.112,0.103,0.182,0.12,0.1,0.099,0.105,0.096,0.224,0.591,0.329,0.794,0.132,0.159,0.119,0.11
0.113,0.103,0.184,0.116,0.1,0.1,0.105,0.096,0.225,0.594,0.332,0.808,0.133,0.16,0.12,0.11
0.113,0.104,0.185,0.12,0.1,0.1,0.106,0.096,0.226,0.595,0.336,0.819,0.133,0.161,0.12,0.11
0.114,0.104,0.187,0.118,0.101,0.1,0.106,0.096,0.229,0.599,0.339,0.833,0.134,0.162,0.12,0.111
0.114,0.104,0.188,0.117,0.101,0.1,0.107,0.096,0.229,0.601,0.343,0.844,0.135,0.163,0.121,0.111
0.114,0.105,0.19,0.121,0.101,0.1,0.107,0.096,0.23,0.603,0.346,0.857,0.135,0.164,0.121,0.111
0.115,0.105,0.191,0.129,0.102,0.101,0.108,0.097,0.231,0.606,0.349,0.872,0.136,0.165,0.122,0.112
0.115,0.105,0.192,0.128,0.102,0.101,0.108,0.096,0.233,0.608,0.353,0.882,0.136,0.166,0.122,0.112
0.115,0.106,0.194,0.131,0.102,0.101,0.108,0.096,0.234,0.609,0.356,0.895,0.137,0.165,0.123,0.112
0.116,0.106,0.195,0.129,0.102,0.102,0.109,0.097,0.235,0.612,0.359,0.909,0.137,0.168,0.123,0.113
0.116,0.107,0.196,0.131,0.103,0.102,0.109,0.098,0.236,0.615,0.363,0.921,0.138,0.168,0.123,0.113
0.116,0.107,0.198,0.131,0.103,0.102,0.11,0.098,0.238,0.616,0.366,0.934,0.138,0.17,0.124,0.113
0.117,0.107,0.2,0.122,0.103,0.103,0.11,0.098,0.238,0.619,0.369,0.947,0.139,0.171,0.124,0.113
0.117,0.108,0.201,0.126,0.104,0.103,0.111,0.099,0.24,0.621,0.373,0.959,0.14,0.172,0.125,0.114
0.118,0.108,0.203,0.128,0.104,0.104,0.111,0.099,0.241,0.623,0.376,0.971,0.14,0.173,0.125,0.114
0.118,0.108,0.204,0.128,0.105,0.105,0.112,0.098,0.243,0.624,0.379,0.985,0.141,0.173,0.126,0.113
0.118,0.109,0.206,0.131,0.105,0.105,0.112,0.099,0.244,0.627,0.383,0.997,0.141,0.175,0.126,0.115
0.119,0.109,0.207,0.136,0.105,0.103,0.112,0.099,0.244,0.628,0.386,1.008,0.142,0.176,0.126,0.115
0.119,0.109,0.208,0.129,0.106,0.104,0.113,0.1,0.246,0.63,0.389,1.022,0.142,0.177,0.127,0.116
0.12,0.11,0.21,0.131,0.106,0.105,0.113,0.099,0.247,0.63,0.392,1.034,0.143,0.177,0.127,0.116
0.12,0.11,0.211,0.135,0.106,0.105,0.114,0.1,0.247,0.633,0.396,1.046,0.144,0.179,0.128,0.117
0.12,0.11,0.212,0.134,0.106,0.104,0.114,0.1,0.249,0.633,0.399,1.058,0.144,0.179,0.128,0.117
0.121,0.111,0.214,0.134,0.107,0.104,0.115,0.1,0.25,0.635,0.402,1.07,0.145,0.181,0.128,0.117
0.122,0.111,0.215,0.133,0.107,0.105,0.115,0.101,0.251,0.636,0.405,1.083,0.145,0.182,0.129,0.118
0.122,0.112,0.217,0.127,0.107,0.105,0.115,0.101,0.252,0.638,0.409,1.095,0.146,0.183,0.129,0.118
0.122,0.112,0.218,0.137,0.108,0.106,0.116,0.101,0.253,0.639,0.412,1.108,0.146,0.184,0.13,0.118
